EQUINOR  N-1 DC Monitored Facility Loadings[TARA Ver 2302.2.0.0 64-bit - Thu Jul 17 13:46:52 2025]

 Loadflow Case: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_EPE_pp10DEL_C0_v2 (3).raw
 Study Data File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_Sub.sub
 Contingency File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_CTGs.con (total 5674 contingencies)
 Monitor File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_Mon.mon (0.0% loading cutoff)
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

 Monitored Facility                                   ,Fr Bus,Fr Name,To Bus,To Name,CKT,kVs,Areas,Zones Name,Rate Base (MVA),Rate Cont (MVA), Cont Name                                                      ,Cont ID,Base Flow (MW),Cont Flow (MW),Final DC %Loading,Severity Rank,Dfax FromTo Bus 113987,Dfax ToFrom Bus 113987,Dfax Harmer Positive (based on flow direction) Bus 113987,
120380 SALISBURY    69.0  120389 NE_690_NY    69.0  1  ,120380,SALISBURY,120389,NE_690_NY,1 ,69 ,101,CT_NORTHWT_P/BORDER-BUS,      31.0,      31.0,BF_CAMPVL_4T,  3473,1.2,-57.3,    184.75,1,   0.00000,  -0.00000,  -0.00000,
121337 NORWALK       115  122803 NORWALK_M1   99.0  1  ,121337,NORWALK,122803,NORWALK_M1,1 ,115/99 ,101,CT_NOR-STN_P/CT_NOR-STN_D,      56.0,      56.0,BF_NRWLK_1T,  4329,21.4,64.3,    114.87,1,   0.00000,  -0.00000,   0.00000,
119664 WHIPPLE_J     115  119672 MYSTIC_1280   115  1  ,119664,WHIPPLE_J,119672,MYSTIC_1280,1 ,115 ,101,CT_EASTERN_P,     217.0,     278.0,DC_G185S_L190_NPCC_NERC_,  5148,122.3,279.4,    100.51,1,  -0.00000,   0.00000,  -0.00000,
117458 CHASE HILL    115  119691 ES_1814_NGR   115  1  ,117458,CHASE HILL,119691,ES_1814_NGR,1 ,115 ,101,RI_PROVIDC_T/BORDER-BUS,     208.0,     218.0,DC_G185S_L190_NPCC_NERC_,  5148,-57.5,-214.6,     98.44,1,   0.00000,  -0.00000,  -0.00000,
110888 BAKER ST A    115  110892 HYDE PARK B   115  1  ,110888,BAKER ST A,110892,HYDE PARK B,1 ,115 ,101,MA_BOSTON_P,     190.0,     235.0,BO_HYDEPK_1,  2486,-89.6,-223.7,     95.21,1,   0.00652,  -0.00652,  -0.00652,
100117 LIVERMORE FL  115  100152 RILEY         115  1  ,100117,LIVERMORE FL,100152,RILEY,1 ,115 ,101,ME_CMP_P,     226.0,     226.0,BF_FR_KIMBLLRD,  3776,-139.0,-214.7,     95.01,1,  -0.00000,   0.00000,   0.00000,
117355 TIVERTON_M13  115  118123 NGR_M13_CON   115  1  ,117355,TIVERTON_M13,118123,NGR_M13_CON,1 ,115 ,101,RI_PROVIDC_T/BORDER-BUS,     215.0,     289.0,BF_JEPSN_4T3,  3965,-132.8,-274.4,     94.94,1,   0.00000,  -0.00000,  -0.00000,
117355 TIVERTON_M13  115  118123 NGR_M13_CON   115  1  ,117355,TIVERTON_M13,118123,NGR_M13_CON,1 ,115 ,101,RI_PROVIDC_T/BORDER-BUS,     215.0,     289.0,LN_L14,  1818,-132.8,-274.4,     94.94,2,   0.00000,  -0.00000,  -0.00000,
117355 TIVERTON_M13  115  118123 NGR_M13_CON   115  1  ,117355,TIVERTON_M13,118123,NGR_M13_CON,1 ,115 ,101,RI_PROVIDC_T/BORDER-BUS,     215.0,     289.0,BF_BELRK_314,  3324,-132.8,-274.4,     94.94,6,  -0.00000,   0.00000,   0.00000,
117355 TIVERTON_M13  115  118123 NGR_M13_CON   115  1  ,117355,TIVERTON_M13,118123,NGR_M13_CON,1 ,115 ,101,RI_PROVIDC_T/BORDER-BUS,     215.0,     289.0,BF_BELRK_L14,  3326,-132.8,-274.4,     94.94,5,   0.00000,  -0.00000,  -0.00000,
