Stress_ID,Monitored Facility,Fr Bus,To Bus,CKT,Contingency_Name,Contingency_Number,Reference Loading,Study_Unit_DFAX,Rate A,Rate B
SCRD_110790_111811_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,Base Case ,0,92.58,0.05692,997.0,1348.0
SCRD_110790_111811_ckt_1_0,110803 READING N140  115  111656 ES211-504RM   115  1  ,110803,111656,1,NF_M139-2,2897,90.73,0.03256,138.0,153.0
SCRD_110790_111811_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,BF_WOBRN_108,661,80.79,0.04082,997.0,1348.0
SCRD_110790_111811_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,LN_338,104,78.85,0.04767,997.0,1348.0
SCRD_110790_111811_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,BF_WWALP_109,671,77.76,0.04747,997.0,1348.0
SCRD_110790_111811_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,BF_WWALP_108,670,77.54,0.04754,997.0,1348.0
SCRD_110790_111811_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,DC_3161-502W_NPCC_NERC,674,77.33,0.0475,997.0,1348.0
SCRD_110790_111812_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,Base Case ,0,98.37,0.05692,997.0,1348.0
SCRD_110790_111812_ckt_1_0,110803 READING N140  115  111656 ES211-504RM   115  1  ,110803,111656,1,NF_M139-2,2897,91.74,0.03256,138.0,153.0
SCRD_110790_111812_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,BF_WOBRN_108,661,85.55,0.04082,997.0,1348.0
SCRD_110790_111812_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,LN_338,104,83.61,0.04767,997.0,1348.0
SCRD_110790_111812_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,BF_WWALP_109,671,82.35,0.04747,997.0,1348.0
SCRD_110790_111812_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,BF_WWALP_108,670,82.13,0.04754,997.0,1348.0
SCRD_110790_111812_ckt_1_0,110759 MYSTIC MA     345  110760 349XY         345  1  ,110759,110760,1,DC_3161-502W_NPCC_NERC,674,82.01,0.0475,997.0,1348.0
SCRD_110790_111812_ckt_1_0,110767 KINGSTON_2    345  110831 KINGSTN ST E  115  1  ,110767,110831,1,BF_MYST_108,540,81.35,0.05389,472.0,540.0
